screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
seattletimes,2020-05-20T05:10:11Z,"These are humble-looking cookies, but once people try them, they can’t resist the slightly crunchy-chewy edge and crust that surround the fluffy, light, slightly sweet almond center. https://t.co/yGEQgllqgs",2,12,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262973873571737600
seattletimes,2020-05-20T04:55:36Z,Public health officials in some states are accused of bungling coronavirus infection statistics or even using sleight of hand to deliberately make things look better than they are. https://t.co/u6zJogPfaW,24,36,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262970205535457283
seattletimes,2020-05-20T04:41:03Z,Find out which novel Moira's Book Club will next read next. (via @moiraverse) https://t.co/KnVBOaAyil,3,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262966543807328256
seattletimes,2020-05-20T04:25:14Z,"The U.S. economy faces irreparable damage from the coronavirus, the nation’s top economic policymakers warned, as lawmakers and the Trump administration grapple with how to restart business activity and whether additional government support is needed.  https://t.co/L6BEL8kivZ",10,6,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262962563639382017
seattletimes,2020-05-20T04:07:09Z,"When Norma McCorvey, the anonymous plaintiff in the landmark Roe vs. Wade case, came out against abortion in 1995, it stunned the world. But it was all a lie, she says in a documentary filmed in the months before her death. https://t.co/jRp3dCTqgN",16,18,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262958012161032193
seattletimes,2020-05-20T03:51:36Z,"The Stag barbershop in Snohomish has been open since May 1, and owner Bob Martin believes he has a right to defy Washington Gov. Jay Inslee's order to remain closed, in part because he served his country. https://t.co/VMXy2p55yW",22,101,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262954098959224837
seattletimes,2020-05-20T03:35:50Z,Coronavirus Economy daily chart for Tuesday. https://t.co/kDdxz3Gq6V https://t.co/pVsputwWNp,7,3,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262950129809723393
seattletimes,2020-05-20T03:30:56Z,"Microsoft recently made an assortment of Minecraft's popular educational tools available for free, with easier access for all players via the Minecraft Marketplace. And players have flocked to it. https://t.co/sSb19bVCW2",7,17,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262948898110353414
seattletimes,2020-05-20T02:59:36Z,"From July 6 to Aug. 7, the Seattle Public Schools district will continue offering courses online that serve elementary, middle and high school students. Registration opens next week.  https://t.co/Qu3Cjsogkg",4,14,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262941012554649606
seattletimes,2020-05-20T02:44:57Z,High numbers of whale strandings began last spring in the northbound migration of the grays to their Arctic feeding grounds. https://t.co/63qwSr1V0C #GrayWhale,9,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262937326809989121
seattletimes,2020-05-20T02:30:21Z,"The FAA outlined initial changes it's making in response to the fatal crashes of two Boeing 737 MAX jets that killed 346 people. It will introduce new checks on airplane certification procedures, but preserves Boeing's role in certifying its own planes. https://t.co/Z9YA1gtgsw",7,1,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262933652775804935
seattletimes,2020-05-20T02:24:04Z,Walmart became a lifeline to millions of people as the coronavirus spread and its surging profit and sales during the fiscal first quarter topped almost all expectations. https://t.co/kNvmD6Z8A8,5,5,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262932071669993472
seattletimes,2020-05-20T01:54:26Z,Pier 1 said it will go out of business and permanently close all 540 of its stores. The retailer has nine stores in Washington state.  https://t.co/ovj59BQHa7,29,25,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262924613920665605
